region,trips,time
region_1783,314.0,2016-06-01 04:00:00
region_1734,358.0,2016-06-01 04:00:00
region_1733,8.0,2016-06-01 04:00:00
region_1684,25.0,2016-06-01 04:00:00
region_1630,6.0,2016-06-01 04:00:00
region_1580,1.0,2016-06-01 04:00:00
region_1533,4.0,2016-06-01 04:00:00
region_1532,2.0,2016-06-01 04:00:00
region_1327,4.0,2016-06-01 04:00:00
region_1483,6.0,2016-06-01 04:00:00
region_1482,12.0,2016-06-01 04:00:00
region_1480,13.0,2016-06-01 04:00:00
region_1442,12.0,2016-06-01 04:00:00
region_1441,5.0,2016-06-01 04:00:00
region_1439,5.0,2016-06-01 04:00:00
region_1438,7.0,2016-06-01 04:00:00
region_1437,25.0,2016-06-01 04:00:00
region_1436,21.0,2016-06-01 04:00:00
region_1434,16.0,2016-06-01 04:00:00
region_1287,76.0,2016-06-01 04:00:00
region_1378,3.0,2016-06-01 04:00:00
region_1326,5.0,2016-06-01 04:00:00
region_1182,416.0,2016-06-01 04:00:00
region_1181,962.0,2016-06-01 04:00:00
region_1180,603.0,2016-06-01 04:00:00
region_1179,522.0,2016-06-01 04:00:00
region_1178,310.0,2016-06-01 04:00:00
region_1177,126.0,2016-06-01 04:00:00
region_1176,17.0,2016-06-01 04:00:00
region_1175,6.0,2016-06-01 04:00:00
region_1174,17.0,2016-06-01 04:00:00
region_1172,3.0,2016-06-01 04:00:00
region_1183,123.0,2016-06-01 04:00:00
region_1132,56.0,2016-06-01 04:00:00
region_1130,271.0,2016-06-01 04:00:00
region_1129,279.0,2016-06-01 04:00:00
region_1128,235.0,2016-06-01 04:00:00
region_1127,273.0,2016-06-01 04:00:00
region_1126,159.0,2016-06-01 04:00:00
region_1125,71.0,2016-06-01 04:00:00
region_1077,98.0,2016-06-01 04:00:00
region_1076,154.0,2016-06-01 04:00:00
region_1075,51.0,2016-06-01 04:00:00
region_1286,303.0,2016-06-01 04:00:00
region_1131,130.0,2016-06-01 04:00:00
region_1184,28.0,2016-06-01 04:00:00
region_1173,11.0,2016-06-01 04:00:00
region_1222,1.0,2016-06-01 04:00:00
region_1221,1.0,2016-06-01 04:00:00
region_1284,119.0,2016-06-01 04:00:00
region_1283,291.0,2016-06-01 04:00:00
region_1282,983.0,2016-06-01 04:00:00
region_1281,663.0,2016-06-01 04:00:00
region_1280,242.0,2016-06-01 04:00:00
region_1279,48.0,2016-06-01 04:00:00
region_1278,14.0,2016-06-01 04:00:00
region_1274,5.0,2016-06-01 04:00:00
region_1273,1.0,2016-06-01 04:00:00
region_1272,3.0,2016-06-01 04:00:00
region_1235,210.0,2016-06-01 04:00:00
region_1285,303.0,2016-06-01 04:00:00
region_1223,7.0,2016-06-01 04:00:00
region_1233,489.0,2016-06-01 04:00:00
region_1232,757.0,2016-06-01 04:00:00
region_1231,889.0,2016-06-01 04:00:00
region_1230,631.0,2016-06-01 04:00:00
region_1229,365.0,2016-06-01 04:00:00
region_1228,218.0,2016-06-01 04:00:00
region_1227,84.0,2016-06-01 04:00:00
region_1225,7.0,2016-06-01 04:00:00
region_1224,25.0,2016-06-01 04:00:00
region_1234,439.0,2016-06-01 04:00:00
region_1382,30.0,2016-06-01 05:00:00
region_1383,369.0,2016-06-01 05:00:00
region_1384,458.0,2016-06-01 05:00:00
region_1385,328.0,2016-06-01 05:00:00
region_1390,10.0,2016-06-01 05:00:00
region_1387,17.0,2016-06-01 05:00:00
region_1388,21.0,2016-06-01 05:00:00
region_1389,12.0,2016-06-01 05:00:00
region_1380,7.0,2016-06-01 05:00:00
region_1386,51.0,2016-06-01 05:00:00
region_1378,0.0,2016-06-01 05:00:00
region_1336,93.0,2016-06-01 05:00:00
region_1376,3.0,2016-06-01 05:00:00
region_1339,4.0,2016-06-01 05:00:00
region_1338,49.0,2016-06-01 05:00:00
region_1337,65.0,2016-06-01 05:00:00
region_1335,179.0,2016-06-01 05:00:00
region_1334,728.0,2016-06-01 05:00:00
region_1333,725.0,2016-06-01 05:00:00
region_1332,413.0,2016-06-01 05:00:00
region_1331,68.0,2016-06-01 05:00:00
region_1327,1.0,2016-06-01 05:00:00
